,Palavras,"(Documento, Ocorrência)"
139,portão,"[(14, 1), (95, 1)]"
140,humanidade,"[(114, 1), (198, 1), (166, 2), (151, 1), (169, 2), (223, 3), (188, 1), (194, 1), (174, 1), (95, 1)]"
141,parentes,"[(128, 1), (1, 1), (102, 2), (6, 1), (39, 2), (169, 1), (7, 1), (208, 1), (114, 2), (249, 1), (186, 1)]"
142,competem,"[(165, 1)]"
143,resumiu,"[(26, 1), (162, 1)]"
144,desgraça,"[(184, 1), (27, 1), (131, 1)]"
145,afirmações,"[(160, 1), (25, 1), (206, 1)]"
146,motivo.o,"[(112, 1)]"
147,desportos,"[(115, 4)]"
148,triunfou,"[(197, 1)]"
149,marcada.a,"[(212, 1)]"
150,compromisso,"[(1, 1), (3, 1), (133, 1), (103, 1), (73, 1), (173, 1), (111, 1), (209, 1), (116, 1), (86, 1), (215, 2), (90, 1), (207, 1), (60, 1), (222, 1)]"
151,triunfos,"[(121, 1)]"
152,levaram,"[(65, 1), (195, 1), (196, 1), (230, 1), (86, 1), (249, 1), (168, 1), (25, 1), (42, 1), (172, 1)]"
153,rememora,"[(224, 1), (10, 1), (110, 1)]"
154,curta-metragem,"[(198, 1)]"
155,encolhido,"[(174, 1)]"
156,rédeas,"[(107, 1), (191, 1), (63, 1)]"
157,ensaios,"[(193, 2), (11, 1), (201, 1)]"
158,preliminares,"[(203, 3), (36, 1)]"
159,miolos,"[(186, 1)]"
160,sussurra,"[(249, 2)]"
161,citação,"[(203, 1), (189, 1), (238, 1)]"
162,anônimo,"[(224, 1), (197, 2), (15, 1)]"
163,contrárias,"[(117, 1)]"
164,bairros,"[(113, 1), (99, 1), (70, 1), (40, 1), (93, 1), (110, 2), (223, 1)]"
165,tentáculos,"[(99, 1)]"
166,anônima,"[(146, 1), (211, 1), (141, 2)]"
167,ahmed,"[(100, 1)]"
168,silva.ricardo,"[(14, 1)]"
169,cazaques,"[(249, 1)]"
170,anos.em,"[(52, 1)]"
171,longo,"[(128, 1), (1, 1), (6, 1), (129, 2), (136, 1), (10, 1), (215, 1), (12, 1), (143, 2), (18, 1), (147, 2), (20, 1), (150, 2), (151, 1), (32, 1), (219, 1), (36, 1), (134, 1), (40, 1), (171, 2), (174, 1), (179, 1), (222, 1), (201, 1), (56, 1), (60, 5), (138, 1), (63, 1), (66, 1), (73, 1), (203, 1), (205, 1), (206, 1), (207, 2), (211, 1), (84, 1), (87, 1), (217, 2), (91, 1), (94, 1), (230, 2), (102, 1), (103, 2), (105, 1), (108, 2), (61, 1), (240, 1), (241, 1), (140, 1), (243, 1), (183, 1), (127, 1)]"
172,longa,"[(132, 1), (11, 1), (36, 1), (71, 1), (106, 1), (103, 1), (76, 1), (174, 1), (115, 1), (164, 1), (183, 1), (107, 1), (84, 1), (187, 1), (151, 1), (248, 1), (57, 1), (91, 1), (60, 1), (125, 1), (190, 2)]"
173,vidro,"[(195, 2), (230, 1), (23, 1)]"
174,longe,"[(130, 1), (150, 1), (198, 2), (137, 2), (139, 1), (248, 1), (149, 1), (86, 1), (23, 1), (152, 1), (217, 1), (22, 2), (220, 1), (154, 1), (30, 1), (223, 1), (230, 1), (171, 1), (108, 1), (110, 1), (238, 1), (242, 1), (243, 1), (153, 2), (184, 1), (63, 1), (190, 1), (191, 1)]"
175,affairs,"[(42, 1)]"
176,recebem,"[(96, 1), (163, 1), (133, 2), (203, 1), (140, 1), (109, 1), (239, 1), (210, 1), (139, 1), (235, 1), (249, 1), (92, 1), (197, 1)]"
177,receber,"[(130, 1), (131, 1), (4, 1), (161, 1), (8, 1), (76, 1), (10, 1), (140, 1), (14, 1), (214, 1), (235, 1), (216, 1), (217, 1), (97, 1), (112, 1), (43, 2), (240, 1), (242, 1), (52, 2), (249, 1), (202, 1), (126, 1)]"
178,debatidacox,"[(91, 1)]"
179,recebeu,"[(193, 1), (198, 1), (76, 1), (140, 1), (14, 1), (82, 1), (83, 1), (151, 1), (88, 1), (223, 1), (224, 1), (230, 1), (40, 1), (170, 1), (47, 1), (112, 1), (242, 2), (116, 1), (56, 1), (249, 1), (122, 2), (187, 1), (63, 1)]"
180,animadores,"[(138, 1)]"
181,captar,"[(135, 1), (147, 1), (87, 1)]"
182,kremlin,"[(16, 1), (66, 2), (83, 1), (23, 1)]"
183,conceder,"[(131, 1), (155, 1), (86, 1), (151, 1), (185, 1), (91, 1), (135, 3)]"
184,representavam,"[(126, 1)]"
185,participa.apesar,"[(238, 1)]"
186,concedeu,"[(32, 1), (34, 1), (229, 1), (63, 2)]"
187,carinho,"[(193, 1), (180, 1), (184, 1), (9, 1), (58, 1), (158, 1)]"
