,Palavras,"(Documento, Ocorrência)"
9881,homenageou,"[(93, 1), (151, 1)]"
9882,temperaturas,"[(40, 1), (78, 2)]"
9883,bolkiah,"[(117, 1)]"
9884,causava,"[(89, 1)]"
9885,caricatura,"[(198, 1), (121, 1), (189, 1), (30, 1)]"
9886,preso.,"[(112, 1)]"
9887,xenófobos,"[(166, 1)]"
9888,barra,"[(230, 1)]"
9889,arte,"[(196, 1), (118, 4), (135, 1), (60, 19), (12, 1), (109, 1), (175, 2), (188, 5), (181, 5), (182, 2), (185, 1), (187, 1), (124, 3)]"
9890,negativos,"[(137, 1), (25, 1), (127, 1)]"
9891,administrar,"[(65, 1), (139, 1), (45, 1), (219, 1), (69, 1)]"
9892,cruéis,"[(9, 1), (87, 1), (117, 1), (17, 1)]"
9893,pegavam,"[(6, 1)]"
9894,overdose,"[(186, 1), (5, 1)]"
9895,disse.a,"[(231, 1)]"
9896,klaus,"[(26, 1)]"
9897,bandeiras,"[(182, 1), (230, 1), (216, 1), (59, 2), (172, 1), (238, 1), (245, 1)]"
9898,naïf,"[(198, 1)]"
9899,emedebista,"[(1, 1), (206, 1)]"
9900,bonucci,"[(122, 8)]"
9901,sobrenome,"[(11, 1)]"
9902,presos,"[(224, 2), (162, 1), (164, 1), (230, 1), (6, 2), (104, 1), (202, 1), (207, 1), (241, 1), (114, 1), (151, 2), (138, 1), (95, 1)]"
9903,pobreza.a,"[(140, 1)]"
9904,companhias,"[(145, 1), (133, 2), (134, 1), (152, 1), (185, 1), (220, 1), (126, 1), (143, 3)]"
9905,refletindo,"[(28, 1)]"
9906,sincero,"[(57, 1)]"
9907,amparados,"[(210, 1)]"
9908,esterilizadas,"[(161, 1)]"
9909,sincera,"[(52, 1), (29, 1), (103, 1)]"
9910,unido.a,"[(28, 1)]"
9911,militarização,"[(115, 1), (166, 2)]"
9912,multinacionais,"[(87, 2)]"
9913,cultivada,"[(168, 1)]"
9914,continuidade,"[(121, 1), (100, 1), (173, 1), (238, 1)]"
9915,revelada,"[(80, 1), (115, 1), (19, 1)]"
9916,visões,"[(2, 1)]"
9917,época.sob,"[(131, 1)]"
9918,revelado,"[(162, 3), (172, 1), (143, 1)]"
9919,reflexão,"[(75, 1), (155, 1), (29, 1), (198, 2), (31, 1)]"
9920,príncipe,"[(177, 1), (198, 1), (142, 1)]"
9921,apoiá-la,"[(103, 1)]"
9922,remake,"[(184, 2), (198, 1)]"
9923,próspero,"[(117, 1)]"
9924,afetada.da,"[(179, 1)]"
9925,reinaldo,"[(76, 1)]"
9926,matança,"[(239, 1)]"
9927,nevadas,"[(46, 1)]"
9928,conor,"[(195, 29)]"
9929,divisoras,"[(152, 1)]"
9930,conquistada,"[(244, 1)]"
9931,reprodutivas,"[(147, 1)]"
9932,acolá,"[(165, 1)]"
9933,fuma,"[(118, 1)]"
9934,toleramos,"[(213, 1)]"
9935,absurdos,"[(18, 1)]"
9936,jesús,"[(65, 1), (193, 1), (99, 1), (55, 1)]"
9937,obsessões,"[(244, 2)]"
9938,imobiliário,"[(34, 1), (125, 1)]"
9939,provocaram,"[(146, 1)]"
9940,covarde,"[(198, 1), (31, 1)]"
9941,indigência,"[(96, 1)]"
9942,consultados,"[(16, 1), (202, 1), (28, 1)]"
9943,térreo,"[(108, 1)]"
9944,superministro,"[(19, 1), (37, 1), (23, 1)]"
9945,não-olavistas,"[(221, 1)]"
9946,serem,"[(197, 1), (6, 1), (9, 1), (202, 1), (206, 2), (207, 1), (208, 1), (211, 2), (249, 1), (216, 1), (217, 1), (154, 1), (94, 2), (223, 1), (33, 2), (59, 1), (107, 1), (112, 2), (52, 1), (117, 1), (137, 1), (248, 1), (121, 1), (187, 1), (125, 1)]"
9947,seres,"[(186, 1), (179, 1), (194, 1)]"
9948,superficialidade,"[(156, 1), (222, 1)]"
9949,gritava,"[(56, 1), (216, 1), (157, 1), (230, 1)]"
9950,recessões,"[(178, 1)]"
9951,demagogos,"[(210, 1)]"
9952,quantas,"[(160, 1), (60, 1), (63, 1)]"
9953,apurados,"[(152, 1)]"
9954,christine,"[(80, 1), (144, 1), (5, 1)]"
9955,engajar,"[(11, 1), (222, 1)]"
9956,pontas,"[(121, 1), (217, 1), (124, 1), (143, 1)]"
9957,conivente.desde,"[(151, 1)]"
9958,gabaritada,"[(151, 1)]"
9959,residindo,"[(197, 1)]"
9960,guarda-chuva,"[(29, 1)]"
9961,dolo,"[(119, 1)]"
9962,qualidade.do,"[(123, 1)]"
9963,hargreaves,"[(46, 2)]"
9964,109.440,"[(198, 1)]"
9965,susto,"[(41, 1), (116, 1), (53, 1)]"
9966,joan,"[(57, 1), (118, 1), (175, 3)]"
9967,stéfano,"[(118, 1)]"
9968,reajuste,"[(37, 1)]"
9969,inés,"[(125, 1)]"
9970,balísticos,"[(241, 1)]"
9971,cliques,"[(124, 1)]"
9972,desestabilizar,"[(98, 1), (83, 1)]"
9973,refere,"[(144, 1), (152, 1), (18, 1), (181, 1), (166, 1), (249, 1), (120, 1), (9, 1), (63, 1)]"
9974,glória,"[(184, 1), (201, 1), (13, 1)]"
9975,antropólogos,"[(194, 1), (3, 1), (29, 1)]"
9976,estrondosa,"[(103, 1)]"
9977,garanto,"[(158, 1)]"
9978,allianz,"[(115, 1)]"
9979,garanti,"[(79, 1)]"
9980,garante,"[(82, 1), (19, 1), (131, 1), (119, 1), (249, 1), (183, 1), (189, 1), (47, 1)]"
9981,autênticas,"[(175, 1)]"
9982,garanta,"[(115, 1), (202, 1), (19, 1), (239, 1)]"
9983,qualificativo,"[(152, 2), (167, 1)]"
9984,irlandês,"[(210, 1)]"
9985,hiv/aids,"[(161, 1)]"
9986,einstein,"[(162, 1)]"
9987,visível,"[(102, 1), (198, 1), (152, 1), (249, 1), (154, 1), (94, 1)]"
9988,destruiu.diante,"[(164, 1)]"
9989,planejavam,"[(196, 1)]"
9990,bruto,"[(96, 1), (144, 1), (218, 1), (141, 1), (197, 1)]"
9991,atômica,"[(160, 1)]"
9992,bruta,"[(207, 1), (127, 2)]"
9993,sistema.este,"[(157, 1)]"
9994,problema,"[(65, 1), (130, 1), (132, 1), (69, 1), (70, 1), (129, 1), (141, 3), (143, 3), (144, 2), (210, 1), (211, 2), (196, 1), (150, 1), (153, 1), (89, 6), (218, 1), (239, 3), (29, 1), (30, 4), (31, 1), (32, 1), (214, 1), (34, 1), (37, 4), (170, 1), (171, 1), (108, 3), (110, 4), (221, 1), (240, 2), (182, 1), (119, 1), (248, 5), (121, 1), (124, 1), (189, 1), (190, 2), (63, 1)]"
9995,remunerações,"[(123, 1)]"
9996,pilares,"[(41, 1), (99, 1), (187, 1), (225, 1)]"
9997,alameda,"[(6, 1)]"
9998,administradas,"[(121, 1)]"
9999,dayane,"[(232, 1)]"
10000,ultrapassar,"[(137, 1)]"
10001,8.000,"[(232, 1), (29, 1), (46, 2), (166, 1)]"
10002,diárias,"[(222, 1), (215, 1)]"
10003,boatos,"[(225, 1)]"
10004,licenciamento,"[(217, 1), (155, 2), (76, 1)]"
10005,vice,"[(50, 1), (19, 1), (237, 1), (166, 1)]"
10006,parâmetro,"[(193, 1)]"
10007,cão,"[(198, 1)]"
10008,manuel,"[(194, 1), (204, 1), (175, 1)]"
10009,desesperado,"[(178, 1), (244, 1)]"
10010,ouço,"[(114, 1)]"
10011,segregação,"[(110, 2)]"
10012,postishev,"[(16, 1)]"
10013,ofendia,"[(11, 1)]"
10014,desesperada,"[(91, 1)]"
10015,consumidoreso,"[(125, 1)]"
10016,detidos,"[(16, 1), (224, 1), (204, 1), (230, 1), (63, 1)]"
10017,aconselhou,"[(69, 1), (198, 1)]"
10018,psíquicos.a,"[(112, 1)]"
10019,anísio,"[(233, 1), (7, 3)]"
10020,vitais,"[(144, 1)]"
10021,apontem,"[(130, 1)]"
10022,citados,"[(49, 1), (162, 1), (119, 1)]"
10023,simulação,"[(31, 1)]"
10024,brando,"[(86, 1)]"
10025,students,"[(110, 2)]"
10026,branda,"[(37, 1)]"
10027,2016.o,"[(168, 1)]"
10028,pechincha,"[(243, 1)]"
10029,villasenor,"[(157, 1)]"
10030,2016.a,"[(162, 1)]"
10031,remota,"[(115, 1), (13, 1)]"
10032,remoto,"[(93, 1), (182, 1), (245, 1)]"
10033,cansados,"[(86, 2)]"
10034,déficit,"[(240, 1), (217, 2), (239, 1)]"
10035,arriscada,"[(151, 1)]"
10036,maduro,"[(65, 6), (98, 1), (99, 7), (97, 1), (106, 1), (247, 4), (83, 2), (150, 11), (183, 1), (88, 4), (153, 1), (63, 2)]"
10037,alegram,"[(15, 1)]"
10038,arriscado,"[(10, 1)]"
10039,alegrar,"[(41, 1)]"
10040,cooperativa,"[(137, 1), (125, 1)]"
10041,moneda,"[(95, 2)]"
10042,contrariando,"[(26, 1), (101, 1)]"
10043,liam,"[(34, 1)]"
10044,divulgada,"[(243, 1), (78, 1), (134, 1), (138, 1), (171, 1), (170, 1), (126, 1), (127, 1)]"
10045,geral.no,"[(207, 1)]"
10046,dialogar,"[(216, 1)]"
10047,divulgado,"[(229, 1), (1, 1), (114, 1), (115, 1), (21, 1), (246, 1), (226, 1), (238, 1), (127, 1)]"
10048,estudei,"[(89, 1)]"
10049,dialogam,"[(147, 1)]"
10050,fuzil,"[(249, 1), (99, 1), (174, 4), (111, 1)]"
10051,ex-assessor,"[(207, 1), (69, 1), (151, 1)]"
10052,desfruta,"[(199, 1)]"
10053,eremita,"[(205, 1)]"
10054,falo,"[(249, 1), (58, 1), (69, 1)]"
10055,semana.foi,"[(197, 1)]"
10056,socorro,"[(46, 1)]"
10057,fuzis,"[(241, 2), (226, 1), (204, 1), (151, 2)]"
10058,fale,"[(6, 1)]"
10059,norfolk,"[(69, 1)]"
10060,vitória,"[(69, 2), (72, 1), (56, 3), (146, 1), (84, 2), (25, 2), (218, 1), (97, 1), (165, 1), (38, 1), (103, 1), (106, 1), (107, 1), (113, 2), (50, 1), (243, 1), (116, 2), (184, 1), (185, 1), (122, 2), (59, 1), (191, 1)]"
10061,campesinas,"[(161, 1)]"
10062,gaulle,"[(63, 1)]"
10063,salvará,"[(80, 1)]"
10064,explorador,"[(46, 1)]"
10065,décimos,"[(24, 4), (63, 1)]"
10066,inapropriado,"[(103, 1)]"
10067,inscrita,"[(140, 1)]"
10068,atribuída,"[(123, 1), (99, 1), (149, 1), (102, 1), (143, 1)]"
10069,antagônica,"[(29, 2)]"
10070,—hoje,"[(183, 1)]"
10071,pelotas,"[(203, 1)]"
10072,instrumentos,"[(89, 1), (146, 1), (61, 1)]"
10073,evidências,"[(161, 1), (66, 2), (165, 2), (65, 1), (239, 1), (194, 1), (207, 1), (181, 1), (247, 1), (25, 1), (31, 1), (223, 1)]"
10074,twitter.quando,"[(240, 1)]"
10075,sonoramente,"[(22, 1)]"
10076,determinados,"[(82, 2), (19, 1), (22, 1), (25, 1), (109, 1), (211, 1)]"
10077,tímida,"[(121, 1), (138, 1)]"
10078,reynaga,"[(114, 2)]"
10079,naturalizou,"[(93, 1)]"
10080,tímido,"[(166, 1), (127, 1)]"
10081,protagonistas.o,"[(200, 1)]"
10082,interromperam,"[(248, 1)]"
10083,descansam,"[(181, 1)]"
10084,vale,"[(128, 7), (194, 1), (155, 1), (232, 1), (76, 2), (210, 1), (84, 1), (214, 1), (151, 2), (219, 1), (220, 4), (125, 1)]"
10085,levassem,"[(184, 1)]"
10086,seguradora,"[(26, 1)]"
10087,ucrânia,"[(16, 6), (86, 4)]"
10088,conte,"[(217, 1)]"
10089,instruções,"[(16, 2), (43, 1)]"
10090,triagem,"[(232, 1)]"
10091,conta,"[(128, 1), (130, 1), (3, 2), (4, 1), (133, 1), (6, 7), (7, 4), (9, 1), (138, 2), (12, 1), (13, 1), (143, 1), (141, 1), (17, 1), (146, 1), (19, 2), (149, 1), (151, 1), (175, 1), (28, 1), (158, 1), (160, 1), (214, 2), (34, 1), (219, 1), (36, 1), (134, 1), (166, 1), (167, 1), (46, 1), (47, 5), (50, 2), (182, 1), (183, 3), (57, 1), (223, 2), (190, 3), (63, 1), (65, 3), (195, 2), (199, 1), (201, 1), (203, 1), (224, 5), (78, 1), (79, 1), (80, 1), (83, 1), (86, 1), (216, 4), (217, 6), (207, 2), (95, 1), (96, 1), (229, 1), (102, 1), (232, 1), (233, 1), (235, 1), (108, 1), (109, 2), (111, 1), (114, 2), (245, 1), (249, 6), (125, 1), (127, 1)]"
10092,conto,"[(184, 2), (10, 1), (198, 4), (14, 1), (63, 1)]"
10093,armadilhas,"[(59, 1)]"
10094,noites,"[(204, 2), (5, 1), (158, 1)]"
10095,stella,"[(199, 2)]"
10096,narrou,"[(212, 1), (14, 1)]"
10097,rovira,"[(95, 1)]"
10098,alexandria,"[(69, 1), (157, 1)]"
10099,2013.,"[(99, 1), (143, 1)]"
10100,enap,"[(217, 2)]"
10101,videlismo,"[(169, 1)]"
10102,capela,"[(223, 1)]"
10103,sampaio,"[(216, 1)]"
10104,impressão,"[(130, 1), (84, 1), (117, 1), (184, 1), (11, 1), (45, 1), (207, 1)]"
10105,devolução,"[(114, 1), (188, 1)]"
10106,declararam,"[(81, 1), (234, 1)]"
10107,prever,"[(211, 1), (197, 1), (150, 1)]"
10108,assinou,"[(213, 1), (169, 1), (8, 1), (73, 1), (55, 1), (220, 1)]"
10109,brisa,"[(59, 1), (182, 1)]"
10110,disposta,"[(82, 1), (75, 1), (197, 1), (46, 1), (63, 1)]"
10111,disposto,"[(193, 1), (34, 1), (99, 1), (197, 1), (75, 1), (205, 1), (112, 1), (150, 1), (56, 1), (25, 2), (58, 1), (240, 1)]"
10112,efetivação,"[(242, 1), (76, 1), (165, 1)]"
10113,homossexualidade,"[(117, 1)]"
10114,rapinagem,"[(169, 1)]"
10115,gestantes,"[(237, 1)]"
10116,dez,"[(65, 1), (194, 1), (68, 1), (133, 1), (136, 1), (9, 1), (147, 2), (21, 1), (217, 1), (27, 1), (156, 1), (221, 2), (69, 2), (225, 1), (197, 1), (165, 1), (39, 1), (45, 1), (238, 1), (240, 1), (53, 1), (137, 1), (56, 1)]"
10117,vladimir,"[(1, 2), (99, 1), (6, 1), (86, 1), (65, 1), (238, 1), (166, 1)]"
10118,eurocéticos,"[(82, 4), (107, 7), (90, 1)]"
10119,des,"[(74, 1)]"
10120,semanas.o,"[(123, 1), (107, 1)]"
10121,deu,"[(3, 1), (193, 1), (9, 1), (138, 1), (11, 1), (13, 1), (14, 1), (216, 2), (19, 2), (22, 2), (25, 1), (152, 1), (153, 1), (34, 1), (164, 1), (37, 2), (166, 2), (41, 1), (45, 1), (47, 2), (50, 1), (243, 1), (53, 2), (55, 1), (184, 1), (244, 1), (58, 1), (188, 1), (189, 1), (191, 2), (65, 1), (195, 2), (196, 2), (197, 1), (181, 1), (77, 1), (207, 1), (56, 2), (86, 1), (249, 2), (88, 1), (91, 1), (224, 1), (230, 2), (232, 1), (115, 1), (116, 1), (169, 1), (121, 1), (125, 1)]"
10122,dei,"[(218, 1), (4, 1)]"
10123,del,"[(65, 1), (34, 1), (195, 5), (193, 1), (121, 1), (92, 1), (114, 1), (45, 3)]"
10124,dem,"[(168, 6), (225, 2), (235, 2), (213, 1)]"
10125,den,"[(181, 1)]"
10126,considerável,"[(108, 1), (30, 1), (191, 1)]"
10127,sánchez,"[(112, 1), (193, 1), (75, 1)]"
10128,lúcidos,"[(193, 1)]"
10129,ocorrência,"[(241, 1), (230, 8), (214, 1)]"
10130,túmulo,"[(14, 1), (6, 1), (166, 1)]"
10131,antje,"[(12, 1)]"
10132,preços,"[(32, 1), (96, 2), (34, 2), (132, 1), (86, 1), (139, 1), (124, 1), (130, 1), (94, 1)]"
10133,ópera,"[(118, 1), (199, 1)]"
10134,classificando,"[(67, 1)]"
10135,índios,"[(217, 4), (210, 1)]"
10136,relacionavam,"[(7, 1)]"
10137,retornaria,"[(223, 1)]"
10138,indireto,"[(150, 1)]"
10139,ocorrendo,"[(16, 1), (217, 1), (188, 1), (173, 1)]"
10140,estirpe,"[(152, 1)]"
10141,charme,"[(87, 1)]"
10142,reverberavam,"[(168, 1)]"
10143,disponível,"[(80, 1), (1, 1), (211, 2), (86, 1), (119, 1), (55, 1), (205, 1)]"
10144,ficava,"[(178, 1), (4, 1), (181, 1), (198, 1), (184, 1), (107, 1), (158, 1)]"
10145,seca,"[(40, 1), (45, 1)]"
10146,energéticas,"[(98, 1)]"
10147,preocupou,"[(41, 1)]"
10148,seco,"[(137, 1)]"
10149,250.000,"[(63, 1)]"
10150,realizam,"[(203, 1)]"
10151,avaliada,"[(197, 2)]"
10152,rendeu,"[(114, 1), (243, 1), (168, 1), (249, 1), (222, 1), (111, 1)]"
10153,senhora,"[(198, 1), (222, 1), (158, 1), (102, 1), (183, 1), (140, 1), (108, 5), (78, 1), (60, 6)]"
10154,avaliado,"[(145, 1), (30, 1), (143, 1)]"
10155,acolhido,"[(199, 1)]"
10156,acolhida,"[(249, 8), (156, 1), (190, 1)]"
10157,iniciou,"[(34, 1), (188, 1), (55, 1)]"
10158,champs,"[(198, 1)]"
10159,controlador,"[(88, 3), (160, 1)]"
10160,controlados,"[(240, 1), (249, 1), (107, 1)]"
10161,utópica,"[(89, 1), (36, 1)]"
10162,reuters,"[(108, 1)]"
10163,lata,"[(249, 1), (230, 1)]"
10164,edmund,"[(158, 1)]"
10165,pena,"[(96, 1), (193, 1), (131, 1), (206, 2), (148, 1), (117, 4), (151, 2), (25, 1), (154, 1), (223, 1), (158, 1), (149, 3)]"
10166,clamor,"[(19, 1)]"
10167,utópico,"[(152, 1)]"
10168,afastar,"[(82, 1), (3, 1), (100, 1), (165, 1), (76, 1), (237, 1)]"
10169,bartira,"[(226, 5)]"
10170,cnmc,"[(125, 2)]"
10171,constrangidas,"[(197, 1)]"
10172,bethânia,"[(183, 1)]"
10173,atacasse,"[(230, 1)]"
10174,sacudidas,"[(129, 1)]"
10175,obceca,"[(198, 1)]"
10176,cantaram,"[(178, 1), (230, 1)]"
10177,golaço,"[(71, 1)]"
10178,idem,"[(149, 1)]"
10179,everyone,"[(192, 1)]"
10180,saberemos,"[(34, 1)]"
10181,sevilha,"[(93, 1)]"
10182,ignorava,"[(15, 1)]"
10183,39.183,"[(22, 1)]"
10184,clama,"[(86, 1)]"
10185,desmanche,"[(168, 1)]"
10186,perdidas,"[(76, 1)]"
10187,insurance,"[(23, 1)]"
10188,tomaram,"[(5, 1), (223, 1)]"
10189,participante,"[(102, 2), (23, 1)]"
10190,referendos,"[(248, 1), (86, 1)]"
10191,panos,"[(175, 1)]"
10192,ficções,"[(210, 1), (182, 1), (86, 1)]"
10193,73.000,"[(249, 1)]"
10194,carentes.já,"[(110, 1)]"
10195,vice-presidenta,"[(108, 1)]"
10196,adoecem,"[(166, 1)]"
10197,vice-presidente,"[(229, 1), (225, 1), (205, 1), (83, 1), (84, 1), (69, 2), (103, 6), (77, 1), (125, 1)]"
10198,revisadas,"[(132, 1)]"
10199,funcionasse,"[(45, 1)]"
10200,atarraxar,"[(4, 1)]"
10201,adoecer,"[(151, 1)]"
10202,pebolim,"[(118, 5)]"
10203,postadas,"[(249, 1), (211, 1)]"
10204,legitima,"[(216, 1), (25, 1), (19, 1)]"
10205,temendo,"[(165, 1), (166, 1)]"
10206,sexta-feira.como,"[(112, 1)]"
10207,valadão,"[(47, 1)]"
10208,comando,"[(65, 2), (224, 2), (196, 1), (71, 1), (247, 2), (205, 1), (207, 1), (210, 1), (83, 1), (84, 1), (151, 1), (216, 1), (92, 1), (160, 1), (36, 1), (129, 1), (7, 1), (108, 1), (240, 1), (115, 2), (246, 1), (55, 1)]"
10209,comanda,"[(41, 1), (27, 1), (207, 1)]"
10210,bem.,"[(58, 1)]"
10211,alerj.a,"[(207, 1)]"
10212,ingressos,"[(56, 1), (41, 1), (178, 2), (124, 1), (192, 1)]"
10213,utilizem,"[(185, 1)]"
10214,ingressou,"[(65, 1), (50, 1), (223, 1), (220, 1), (177, 1)]"
10215,pudor,"[(114, 1)]"
10216,pessoa-bayeux,"[(139, 1)]"
10217,intolerâncias,"[(173, 1), (214, 1)]"
10218,instalação,"[(97, 1), (151, 1), (8, 1), (137, 1), (60, 1), (216, 1), (239, 1)]"
10219,merda,"[(4, 1), (31, 2)]"
10220,cercava,"[(158, 1)]"
10221,ouvi,"[(82, 2), (69, 1), (14, 1)]"
10222,ouve,"[(3, 1), (221, 1)]"
10223,vasili,"[(247, 1)]"
10224,públicos.nenhum,"[(228, 1)]"
10225,enciclopédias,"[(185, 1)]"
10226,conheceu,"[(249, 1), (42, 1), (4, 1), (93, 1)]"
10227,conhecer,"[(99, 1), (6, 1), (188, 1), (75, 1), (13, 1), (15, 1), (16, 1), (157, 1), (114, 1), (87, 1), (216, 1), (218, 1), (60, 3), (61, 1), (63, 1)]"
10228,membros,"[(65, 1), (69, 2), (202, 1), (205, 2), (80, 2), (18, 1), (151, 1), (88, 2), (197, 1), (98, 1), (163, 1), (36, 1), (102, 1), (104, 1), (41, 2), (173, 1), (110, 1), (175, 1), (117, 1), (185, 3), (249, 1), (125, 1), (63, 1)]"
10229,culés,"[(56, 2)]"
10230,dimmons,"[(125, 2)]"
10231,conhecem,"[(57, 1), (58, 1), (19, 1), (98, 1)]"
10232,negrão,"[(15, 1)]"
10233,versos,"[(120, 1), (195, 1), (183, 2)]"
10234,velado,"[(92, 1)]"
10235,confirma,"[(19, 1), (229, 1)]"
10236,travesseiro,"[(154, 1)]"
10237,comunica,"[(174, 1)]"
10238,alonso,"[(200, 1)]"
10239,justificado,"[(64, 1)]"
10240,inscritas,"[(133, 2)]"
10241,abrigou-se,"[(73, 1)]"
10242,avalie,"[(30, 2)]"
10243,avalia,"[(245, 1), (217, 2), (41, 1), (249, 1), (221, 3), (239, 1)]"
10244,procedia,"[(187, 1)]"
10245,dependentes,"[(146, 1)]"
10246,baderneiro,"[(6, 1)]"
10247,riester.a,"[(124, 1)]"
10248,autônomos,"[(136, 1), (125, 6), (111, 1)]"
10249,juracy,"[(6, 2)]"
10250,thomas,"[(158, 1), (103, 2), (184, 3), (9, 2), (74, 1), (76, 1), (110, 2)]"
10251,taxaram,"[(206, 1)]"
10252,réu,"[(162, 2)]"
10253,auditoria,"[(106, 1), (211, 1), (223, 1)]"
10254,duvide,"[(166, 1)]"
10255,rendimentos,"[(123, 1), (185, 1), (27, 1)]"
10256,festas,"[(41, 1), (18, 1), (164, 1), (6, 1)]"
10257,móveis,"[(60, 1)]"
10258,centro-americanos,"[(247, 1)]"
10259,duvida,"[(140, 1), (229, 1)]"
10260,revistas,"[(185, 1), (211, 1)]"
10261,suspensos,"[(119, 1)]"
10262,acabarão,"[(34, 1)]"
10263,regulatório,"[(125, 1)]"
10264,autora,"[(16, 2), (99, 1), (19, 1), (166, 1), (151, 1), (11, 2), (175, 1)]"
10265,salut,"[(14, 1)]"
10266,grudar,"[(30, 1)]"
10267,nascida,"[(152, 1), (200, 1), (27, 1), (187, 1), (249, 1)]"
10268,ambulâncias,"[(111, 2)]"
10269,esteroide,"[(119, 2)]"
10270,nascido,"[(244, 1), (114, 2), (212, 1), (6, 1), (249, 1)]"
10271,altura,"[(184, 1), (132, 1), (71, 1), (137, 7), (9, 1), (138, 1), (191, 1), (109, 1), (46, 2), (189, 1)]"
10272,tendem,"[(210, 1), (133, 1), (190, 1)]"
10273,queixara,"[(172, 1)]"
10274,individual,"[(112, 1), (53, 1)]"
10275,empírica,"[(210, 1)]"
10276,direcionadas,"[(92, 1)]"
10277,envenenado,"[(15, 1)]"
10278,fruto,"[(248, 1), (233, 1), (10, 1), (3, 1)]"
10279,despercebido,"[(55, 1)]"
10280,culpabilização,"[(103, 1)]"
10281,estará,"[(97, 1), (132, 1), (69, 3), (166, 1), (209, 1), (58, 1), (124, 1), (205, 1), (143, 1)]"
10282,envelopes,"[(175, 1)]"
10283,paños,"[(56, 2)]"
10284,vertente,"[(244, 2), (46, 2)]"
10285,desvalorização,"[(96, 1), (129, 1)]"
10286,desconfio,"[(14, 1)]"
10287,traga,"[(142, 1)]"
10288,pitada,"[(138, 1), (215, 1)]"
10289,sexualidade,"[(161, 1), (164, 1), (190, 1), (182, 1)]"
10290,6.000.000,"[(47, 1)]"
10291,examinou,"[(103, 1)]"
10292,eleição,"[(237, 1), (34, 1), (163, 1), (165, 3), (166, 2), (8, 1), (173, 1), (205, 3), (208, 1), (210, 1), (19, 1), (86, 1), (248, 1), (127, 2), (211, 2), (37, 1)]"
10293,contribuirá,"[(70, 1)]"
10294,inflação.atualmente,"[(37, 1)]"
10295,constituem,"[(105, 1), (66, 1), (167, 1)]"
10296,notícias.,"[(13, 1)]"
10297,atrasado,"[(244, 1)]"
10298,atrasada,"[(107, 1)]"
10299,aloy,"[(7, 1)]"
10300,sinaliza,"[(96, 1), (37, 1), (127, 1)]"
10301,fluidez,"[(181, 1)]"
10302,param,"[(187, 1), (180, 1), (157, 1), (166, 2), (151, 1)]"
10303,urinando,"[(18, 1)]"
10304,reta,"[(105, 1), (122, 1), (108, 1)]"
10305,parar,"[(195, 1), (229, 1), (107, 1), (81, 1), (244, 1), (181, 1), (151, 1), (216, 1), (188, 1), (215, 1), (223, 1)]"
10306,patriarcais,"[(33, 1)]"
10307,elétricos,"[(136, 3), (125, 2), (151, 1)]"
10308,recusava,"[(151, 1)]"
10309,jutra,"[(5, 2)]"
10310,ditadura.o,"[(165, 1)]"
10311,ultraliberal,"[(218, 1), (140, 1)]"
10312,horrendo,"[(77, 1)]"
10313,ruidosas,"[(20, 1)]"
10314,sobe,"[(87, 1)]"
10315,enxergar,"[(59, 1), (166, 1)]"
10316,holandeses.foi,"[(71, 1)]"
10317,bill,"[(105, 1), (107, 1), (84, 1), (135, 1)]"
10318,pretendendo,"[(83, 1)]"
10319,dryas,"[(194, 1)]"
10320,eua.mas,"[(22, 1)]"
10321,cogitando,"[(88, 1)]"
10322,rentabilizando,"[(41, 1)]"
10323,enxergam,"[(228, 1)]"
10324,salvador,"[(95, 1), (71, 1), (182, 1), (55, 1)]"
10325,comitiva,"[(42, 1), (111, 1)]"
10326,entregues.esta,"[(143, 1)]"
10327,quitado,"[(47, 1)]"
10328,rancor,"[(75, 1)]"
10329,austeridade,"[(129, 1), (18, 1)]"
10330,cento,"[(218, 2)]"
10331,mútuo,"[(145, 1)]"
10332,eliminados,"[(25, 1), (221, 1)]"
10333,demonstrando,"[(41, 1), (34, 1), (171, 1)]"
10334,altares,"[(201, 1)]"
10335,aceitou.–,"[(63, 1)]"
10336,atrevia,"[(114, 1)]"
10337,ocorressem,"[(235, 1)]"
10338,assinaturas,"[(209, 1), (124, 1)]"
10339,laminada,"[(137, 1)]"
10340,finalmente/,"[(183, 1)]"
10341,crucifixo,"[(223, 1)]"
10342,passeavam,"[(184, 1)]"
10343,marcava,"[(196, 1)]"
10344,dilacerantes,"[(182, 1)]"
10345,percentagem,"[(130, 1), (123, 2)]"
10346,ambiental.indo,"[(155, 1)]"
10347,militar.durante,"[(99, 1)]"
10348,conhecendo,"[(25, 1)]"
10349,antigamente,"[(101, 1)]"
10350,custava,"[(158, 1)]"
10351,desautorizada,"[(107, 1)]"
10352,nardi,"[(244, 1), (46, 5)]"
10353,treina,"[(43, 1), (196, 2), (69, 1)]"
10354,acionaram,"[(217, 1)]"
10355,todolí,"[(125, 2), (30, 2)]"
10356,treino,"[(196, 1)]"
10357,agências,"[(97, 1), (26, 1), (249, 1), (28, 2), (241, 1)]"
10358,antissistema,"[(166, 1)]"
10359,comportamento,"[(240, 1), (225, 1), (147, 5), (211, 2), (153, 1), (9, 1), (11, 1), (28, 1), (223, 1)]"
10360,convocado,"[(119, 1), (63, 1), (47, 1)]"
10361,possibilitaria,"[(47, 1)]"
10362,comandantes,"[(208, 1), (25, 1), (63, 1)]"
